Format Version,1.23,Take Name,Take 2023-06-26 02.51.41 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.51.41.822 PM,Capture Start Frame,1562457,Total Frames in Take,4599,Total Exported Frames,4599,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559
,ID,"64A549E3878145B11EE","64A549E3878145B11EE","64A549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
108,0.216000,28.116241,-101.133049,157.581772,24.137300,267.081604,280.994385,35.105080,10.319479,286.851074
109,0.218000,28.117691,-101.133934,157.579254,24.133595,267.084167,280.996246,35.104736,10.320547,286.851868
110,0.220000,28.115919,-101.133064,157.584015,24.133989,267.085388,280.998535,35.099968,10.322990,286.854889
111,0.222000,28.120329,-101.135155,157.582748,24.134253,267.085205,280.995667,35.104282,10.318280,286.854462
112,0.224000,28.119558,-101.133377,157.582397,24.135231,267.081482,280.998535,35.105049,10.318522,286.846069
113,0.226000,28.117908,-101.131371,157.579544,24.133129,267.081421,280.997406,35.105625,10.318475,286.852966
114,0.228000,28.115492,-101.131981,157.578064,24.134634,267.082642,280.999451,35.103069,10.316868,286.856720
115,0.230000,28.116060,-101.133385,157.578491,24.133118,267.084259,280.999298,35.103718,10.321542,286.851715
116,0.232000,28.114115,-101.133965,157.576035,24.133305,267.082886,280.999268,35.099133,10.320910,286.853516
117,0.234000,28.112606,-101.132362,157.581680,24.134298,267.083679,280.999878,35.101967,10.316904,286.848785
118,0.236000,28.117306,-101.133606,157.582153,24.133167,267.084320,281.001617,35.101372,10.321224,286.854431
119,0.238000,28.118332,-101.138481,157.578064,24.132601,267.082184,280.998474,35.098351,10.316238,286.851929
120,0.240000,28.113554,-101.133995,157.580750,24.132973,267.081726,280.997894,35.103439,10.316978,286.854736
121,0.242000,28.116133,-101.137901,157.584381,24.132792,267.082855,280.997406,35.099331,10.319655,286.854431
122,0.244000,28.117193,-101.135582,157.580353,24.131239,267.082489,280.998993,35.107227,10.317820,286.846436
123,0.246000,28.116661,-101.133324,157.580704,24.129866,267.082855,280.998993,35.104153,10.315233,286.854187
124,0.248000,28.114864,-101.134476,157.578796,24.130653,267.082611,280.999390,35.104912,10.316422,286.853058
125,0.250000,28.117550,-101.135216,157.578476,24.131313,267.083191,280.994110,35.104656,10.316467,286.850159
126,0.252000,28.116800,-101.136803,157.579056,24.134743,267.081726,280.997864,35.101562,10.312975,286.855194
127,0.254000,28.118229,-101.134415,157.581345,24.137835,267.085846,281.000122,35.109299,10.319074,286.849731
128,0.256000,28.115637,-101.133904,157.582825,24.134327,267.080597,280.999390,35.103855,10.321826,286.850922
129,0.258000,28.118671,-101.132156,157.582001,24.136196,267.082855,280.997986,35.106022,10.323833,286.851410
130,0.260000,28.115002,-101.133125,157.577148,24.134377,267.084106,280.996155,35.105854,10.318861,286.853973
131,0.262000,28.118412,-101.134781,157.577927,24.137186,267.081177,280.993225,35.108116,10.322442,286.848602
132,0.264000,28.115744,-101.132774,157.574707,24.130363,267.080322,280.993225,35.105339,10.312896,286.849335
133,0.266000,28.120390,-101.134071,157.577637,24.135454,267.083099,280.997803,35.102837,10.316033,286.852905
134,0.268000,28.114681,-101.136642,157.580261,24.133280,267.080597,280.998047,35.100956,10.316033,286.848846
135,0.270000,28.120388,-101.135696,157.581223,24.131390,267.080780,280.996460,35.100170,10.318183,286.846313
136,0.272000,28.114029,-101.136253,157.579636,24.129692,267.080322,280.997101,35.101414,10.316398,286.854187
137,0.274000,28.115665,-101.133896,157.582382,24.133499,267.083557,280.996613,35.103310,10.317777,286.854218
138,0.276000,28.118610,-101.137367,157.578568,24.134541,267.079132,280.996826,35.104092,10.317315,286.853821
139,0.278000,28.114511,-101.133064,157.579254,24.137808,267.080933,280.996857,35.100304,10.321814,286.851959
140,0.280000,28.114731,-101.136101,157.580566,24.134443,267.082794,281.002502,35.103241,10.315359,286.848602
141,0.282000,28.114433,-101.137177,157.575928,24.135315,267.081818,281.001099,35.102856,10.314721,286.855255
142,0.284000,28.117397,-101.135094,157.578934,24.133503,267.078857,280.993011,35.101360,10.314853,286.849426
