Format Version,1.23,Take Name,Take 2023-06-26 02.53.05 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.53.05.576 PM,Capture Start Frame,1604334,Total Frames in Take,6959,Total Exported Frames,6959,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575
,ID,"658549E3878145B11EE","658549E3878145B11EE","658549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
90,0.180000,28.119698,-101.126534,157.524689,23.752159,266.897430,281.188812,-1361.942139,224.023285,802.755188,35.082489,10.184973,286.888947
91,0.182000,28.114353,-101.124855,157.529831,23.749470,266.896973,281.191772,-1361.955078,224.017136,802.759277,35.079201,10.183100,286.891144
92,0.184000,28.118975,-101.124809,157.529404,23.753006,266.893036,281.190094,-1361.942383,224.012329,802.764160,35.076591,10.188835,286.893280
93,0.186000,28.119133,-101.126831,157.529785,23.751278,266.897461,281.192200,-1361.948608,224.016525,802.767883,35.082161,10.182244,286.892120
94,0.188000,28.117956,-101.125267,157.526733,23.748442,266.899384,281.193665,-1361.915771,224.012817,802.755188,35.082634,10.182619,286.900452
95,0.190000,28.119272,-101.123718,157.529709,23.752966,266.894562,281.196045,-1361.901245,224.014084,802.756714,35.078835,10.184071,286.897675
96,0.192000,28.121445,-101.125320,157.528702,23.751705,266.899048,281.191559,-1361.879395,224.022354,802.729126,35.084320,10.185111,286.896240
97,0.194000,28.124435,-101.122864,157.530701,23.752058,266.892883,281.195190,-1361.870605,224.019699,802.737671,35.085213,10.190820,286.891876
98,0.196000,28.121323,-101.121063,157.530167,23.750475,266.896729,281.191528,-1361.863403,224.022736,802.731262,35.079559,10.187200,286.896942
99,0.198000,28.119703,-101.120316,157.528534,23.751570,266.900391,281.192291,-1361.832031,224.028214,802.705017,35.081867,10.189245,286.894073
100,0.200000,28.120869,-101.124855,157.525345,23.751318,266.900574,281.191254,-1361.831665,224.025726,802.710388,35.084198,10.188320,286.894226
101,0.202000,28.117437,-101.124275,157.528442,23.752331,266.900330,281.190582,-1361.813843,224.033325,802.684814,35.082497,10.187444,286.892578
102,0.204000,28.120501,-101.125183,157.521118,23.750885,266.896881,281.189117,-1361.810059,224.017563,802.699829,35.081928,10.186829,286.896851
103,0.206000,28.119558,-101.127747,157.527573,23.752714,266.896667,281.194122,-1361.813843,224.018707,802.703552,35.082039,10.182616,286.895660
104,0.208000,28.116053,-101.127495,157.529572,23.752268,266.893097,281.189789,-1361.782471,224.015778,802.676270,35.084049,10.184262,286.887238
