Format Version,1.23,Take Name,Take 2023-06-29 04.39.19 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.39.20.428 PM,Capture Start Frame,4625309,Total Frames in Take,21896,Total Exported Frames,21896,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1890,Unlabeled 1890,Unlabeled 1890,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1892,Unlabeled 1892,Unlabeled 1892,Unlabeled 1893,Unlabeled 1893,Unlabeled 1893
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
85,0.425000,17.119774,958.809570,306.290100,24.672422,252.344223,409.033508,25.715342,571.023315,392.503815,21.983742,821.065002,378.399414
86,0.430000,17.118944,958.808044,306.291077,24.674618,252.348541,409.035278,25.715818,571.027222,392.510040,21.988060,821.068054,378.402740
87,0.435000,17.120508,958.808960,306.289612,24.676517,252.343506,409.035858,25.715797,571.025940,392.504913,21.989105,821.066101,378.404022
88,0.440000,17.122169,958.807861,306.287140,24.675821,252.343689,409.033447,25.711798,571.024719,392.502319,21.983831,821.070007,378.400421
89,0.445000,17.117435,958.807495,306.290771,24.674574,252.346161,409.033325,25.715076,571.021240,392.504089,21.983940,821.065063,378.400604
90,0.450000,17.118519,958.807129,306.287537,24.675745,252.343506,409.033112,25.716568,571.022400,392.501495,21.986160,821.068420,378.402161
91,0.455000,17.120861,958.809326,306.290070,24.674608,252.343536,409.036835,25.713911,571.021912,392.502350,21.984737,821.069702,378.398315
92,0.460000,17.121380,958.807373,306.285095,24.679382,252.344940,409.037231,25.715683,571.025635,392.500885,21.985571,821.064636,378.399475
93,0.465000,17.119102,958.803101,306.286133,24.674011,252.346573,409.036774,25.714867,571.023071,392.502899,21.984749,821.067017,378.400421
94,0.470000,17.117344,958.806091,306.289825,24.680202,252.342941,409.037354,25.713484,571.023315,392.507080,21.988760,821.067627,378.402832
95,0.475000,17.119886,958.806030,306.287628,24.675478,252.349319,409.035492,25.712980,571.022888,392.501984,21.984491,821.066528,378.400543
96,0.480000,17.119829,958.808960,306.288422,24.676081,252.348389,409.037231,25.717796,571.021301,392.504822,21.990597,821.069153,378.404907
97,0.485000,17.122993,958.809021,306.290863,24.674446,252.347977,409.032227,25.714705,571.025879,392.505341,21.986570,821.066162,378.402130
98,0.490000,17.119541,958.805115,306.285309,24.676008,252.346344,409.034485,25.715076,571.023315,392.502228,21.984404,821.067566,378.400024
99,0.495000,17.118689,958.807861,306.287781,24.676695,252.344315,409.033295,25.713757,571.024414,392.507690,21.985991,821.065491,378.402252
100,0.500000,17.117428,958.808167,306.289948,24.675791,252.344727,409.032532,25.714838,571.025879,392.504517,21.988590,821.067932,378.398315
101,0.505000,17.117905,958.808105,306.288208,24.678276,252.342163,409.035522,25.716791,571.023376,392.505341,21.985792,821.064270,378.400360
102,0.510000,17.116083,958.809998,306.285614,24.674755,252.348221,409.035126,25.715813,571.023132,392.505676,21.981968,821.066956,378.401764
103,0.515000,17.119097,958.808167,306.286926,24.675333,252.346344,409.037506,25.714615,571.024109,392.499786,21.985260,821.068787,378.399414
104,0.520000,17.118383,958.809875,306.286743,24.673367,252.345291,409.031525,25.715384,571.026855,392.507751,21.983980,821.069336,378.404541
105,0.525000,17.116121,958.808167,306.287781,24.673250,252.346756,409.029510,25.718231,571.022522,392.499115,21.987207,821.068237,378.404358
106,0.530000,17.120792,958.807373,306.287628,24.674187,252.345688,409.032928,25.715059,571.021912,392.504517,21.986942,821.064331,378.400757
107,0.535000,17.120455,958.807495,306.290436,24.675528,252.344879,409.036652,25.716335,571.025513,392.510620,21.983404,821.066895,378.400513
108,0.540000,17.119482,958.809631,306.287201,24.675219,252.344757,409.033875,25.710516,571.021484,392.502045,21.985331,821.066528,378.398682
109,0.545000,17.118826,958.807007,306.288086,24.675035,252.346481,409.035736,25.718922,571.025330,392.504120,21.985950,821.069153,378.401764
110,0.550000,17.119776,958.808594,306.287964,24.672575,252.343719,409.031036,25.720001,571.023132,392.504456,21.985147,821.066650,378.401123
111,0.555000,17.121710,958.807312,306.289001,24.674389,252.347824,409.036377,25.719015,571.023315,392.504791,21.987864,821.067261,378.399811
112,0.560000,17.121899,958.809204,306.289368,24.671946,252.345596,409.039795,25.715496,571.023132,392.501282,21.981955,821.061890,378.399658
113,0.565000,17.121550,958.803345,306.290283,24.675922,252.350479,409.034058,25.716038,571.024231,392.502106,21.985081,821.066040,378.401917
114,0.570000,17.120533,958.805725,306.286407,24.672230,252.348160,409.037415,25.714531,571.026489,392.502502,21.980566,821.067871,378.403931
115,0.575000,17.118462,958.808167,306.288727,24.674274,252.344727,409.033508,25.716900,571.022339,392.506744,21.981783,821.065491,378.400665
116,0.580000,17.120640,958.807617,306.285583,24.671366,252.346756,409.032318,25.717873,571.022583,392.503052,21.986208,821.062439,378.400940
117,0.585000,17.118692,958.807861,306.287323,24.676767,252.347351,409.031464,25.713974,571.026123,392.502686,21.981865,821.065308,378.399536
118,0.590000,17.120924,958.806702,306.289246,24.673681,252.345032,409.034332,25.714378,571.020935,392.505219,21.987503,821.070007,378.400208
119,0.595000,17.122683,958.808655,306.291229,24.674913,252.345001,409.039185,25.718939,571.025024,392.506348,21.988195,821.066467,378.397186
120,0.600000,17.117214,958.808044,306.286774,24.675068,252.345001,409.037415,25.713785,571.022583,392.508850,21.982651,821.067810,378.403442
